#Meta infos
20,25
#Processing times
23,18,66,5,56,3,14,6,34,2,15,12,42,11,61,10,54,8,22,17,31,1,25,16,46,13,77,25,61,20,36,23,10,22,12,4,25,15,48,19,11,21,51,24,34,7,20
24,25,45,19,69,21,66,16,11,17,15,12,38,14,29,18,50,24,25,5,22,6,78,20,27,1,74,9,48,23,77,13,65,4,26,11,12,3,22,15,40,7,44,22,50,2,44,10,13
22,14,61,5,15,9,23,1,37,17,80,10,45,7,46,15,34,23,70,13,54,12,80,2,25,25,21,16,27,19,80,11,68,4,54,22,10,3,52,24,78,8,63,6,15
25,6,15,19,17,21,78,7,56,1,17,25,77,8,24,16,13,15,25,18,41,23,33,17,47,2,71,20,33,9,19,14,78,10,22,5,78,22,47,4,78,3,23,24,45,12,50,13,28,11,69
24,25,77,6,27,7,53,23,40,3,79,10,26,8,22,17,14,9,20,1,38,5,35,4,68,18,34,24,38,15,59,21,51,12,51,16,68,22,74,13,37,11,76,19,59,20,79,14,30
23,25,80,14,66,5,70,1,14,6,41,2,76,15,55,9,35,11,33,16,47,17,23,18,34,24,37,23,79,8,43,21,18,22,70,12,16,3,14,4,43,7,58,10,24,13,65
22,19,69,20,55,7,51,23,42,22,51,5,63,6,51,8,57,14,79,4,72,10,71,2,29,11,62,24,59,16,76,3,63,17,27,21,76,1,70,12,75,25,47,13,73
22,15,16,17,69,14,32,23,56,2,30,1,64,9,45,3,79,24,78,25,36,20,32,7,19,19,24,21,60,5,68,6,32,22,62,8,65,4,23,12,61,18,71,10,75
22,13,19,12,77,18,72,2,51,14,60,3,30,24,37,17,31,8,79,1,30,16,48,19,14,25,22,20,67,5,67,22,43,6,65,10,18,11,27,21,48,9,27,15,75
24,11,31,20,60,2,37,6,21,12,55,4,32,3,41,8,17,16,39,10,74,7,59,13,46,5,43,18,24,19,53,25,35,9,32,15,32,22,43,1,44,23,45,17,72,14,13,24,70
25,6,38,17,13,21,17,14,59,10,78,16,42,22,61,24,44,13,16,2,72,5,61,7,74,12,61,25,28,9,41,19,71,4,19,15,46,20,46,8,54,11,25,1,48,3,63,18,55,23,72
22,9,47,20,70,11,35,12,43,23,75,14,42,22,51,2,40,8,52,15,65,3,35,13,36,24,27,18,80,6,72,17,21,16,36,10,28,1,77,25,66,21,35,19,71
25,21,78,17,57,2,21,20,39,4,23,11,71,13,49,5,56,22,47,23,39,1,37,12,29,9,53,25,54,6,64,24,38,7,49,15,23,10,37,16,31,14,12,8,53,3,27,19,35,18,61
23,11,30,3,80,18,76,12,18,6,17,13,55,19,26,20,28,10,61,2,61,1,65,9,59,21,29,16,50,22,15,24,46,17,68,5,43,25,76,4,49,23,76,7,23,8,58
24,7,38,4,80,2,35,21,37,11,67,18,35,10,54,23,20,5,22,12,42,17,20,19,74,9,27,25,64,16,68,6,75,22,62,15,66,8,46,3,59,20,79,1,25,24,21,14,48
24,6,45,23,77,18,55,8,73,12,65,10,43,13,20,14,12,16,61,5,68,22,32,4,73,25,48,15,54,7,60,2,78,21,18,20,44,9,22,19,31,1,62,3,36,17,62,24,38
23,12,74,15,77,1,18,7,59,24,55,21,42,22,41,16,64,11,55,9,74,13,72,8,17,3,19,19,31,17,71,6,15,20,74,5,33,10,80,14,44,23,42,2,56,18,48
24,12,19,6,71,2,65,8,34,18,18,23,38,25,59,14,33,7,55,19,34,13,55,3,43,17,23,15,29,9,80,16,44,24,79,20,22,10,71,4,79,5,49,1,29,21,13,11,60
25,11,63,23,60,8,19,2,27,21,17,18,18,20,27,10,24,12,47,3,43,24,26,22,48,19,60,25,12,16,75,4,35,13,17,14,71,17,78,9,44,5,78,15,66,7,74,1,62,6,63
23,25,67,18,58,4,14,13,10,20,75,6,63,1,35,11,58,5,70,7,54,14,71,23,40,22,40,19,36,3,30,17,51,2,18,10,26,12,10,8,69,24,68,15,37,16,44
#Setup times
64,20,72,15,24,68,56,77,43,80,50,50,63,70,20,23,56,39,11,31
58,15,66,33,76,75,10,10,15,67,44,10,16,22,55,52,19,63,41,74
67,38,70,37,34,75,53,41,78,36,43,66,18,27,12,56,25,65,12,41
34,19,33,37,14,47,76,79,18,40,54,34,55,61,66,57,24,72,49,14
74,30,11,53,31,57,70,74,45,32,49,17,51,17,42,12,44,72,52,33
57,78,49,15,47,80,21,47,27,28,41,60,48,80,36,76,18,53,51,56
31,29,43,12,71,37,18,60,14,44,59,53,66,55,29,44,30,74,80,56
34,52,32,45,73,56,43,59,75,77,22,18,42,34,10,43,79,48,29,24
73,37,43,75,47,20,58,22,25,46,68,77,62,55,78,74,33,51,10,31
11,62,16,10,73,66,40,64,14,18,69,65,51,39,26,62,10,19,36,59
34,30,61,30,54,26,79,37,45,51,16,26,15,26,79,32,14,28,65,55
68,16,79,59,12,66,58,53,74,53,34,29,21,60,16,70,11,15,76,19
44,55,18,74,29,33,45,21,78,30,65,72,78,20,70,57,62,79,74,24
46,32,77,27,73,16,61,80,80,52,60,26,56,68,57,45,64,38,15,53
14,54,57,41,21,21,54,15,80,65,67,30,44,14,29,34,47,62,73,42
59,55,72,52,72,58,43,64,40,43,52,35,12,64,62,16,21,64,12,70
15,54,39,48,10,64,14,16,23,59,28,24,20,16,38,42,28,68,32,36
31,61,59,70,55,14,79,57,18,52,66,13,62,61,24,32,67,11,37,44
62,12,17,24,70,62,16,40,68,14,43,20,29,19,61,56,38,51,77,77
36,61,15,45,56,45,11,70,44,37,77,50,62,79,42,46,20,53,19,19
