#Meta infos
10,5
#Processing times
4,3,20,2,78,4,25,5,54
3,1,67,3,45,4,87
3,2,10,3,82,5,21
3,4,54,3,90,1,35
3,2,23,5,15,4,37
5,3,48,1,88,5,26,2,98,4,37
5,4,17,3,64,2,65,5,94,1,93
4,4,53,1,71,5,29,2,21
5,5,24,4,92,1,71,3,22,2,86
5,5,62,4,61,2,25,1,77,3,27
#Setup times
0,14,23,22,37,21,27,18,29,23
21,0,13,16,13,10,34,28,12,33
19,18,0,40,12,38,21,17,14,32
38,38,25,0,26,11,22,18,37,26
16,21,38,28,0,16,24,20,16,30
18,26,36,30,29,0,21,12,18,32
40,15,37,17,20,22,0,19,26,30
32,20,36,18,27,10,13,0,35,13
28,13,12,26,26,40,24,34,0,32
33,14,17,19,34,35,21,32,17,0
