#Meta infos
15,15
#Processing times
13,11,76,8,33,3,24,15,22,14,16,9,13,13,71,6,13,1,14,10,62,4,39,12,48,7,25
12,7,35,11,16,13,52,9,40,4,72,12,35,10,30,6,29,8,39,15,72,14,20,5,33
12,9,60,11,46,10,44,8,77,4,53,7,58,2,15,1,38,14,15,13,42,3,75,15,67
12,3,22,10,66,7,10,9,75,8,19,6,16,11,27,15,52,1,40,12,79,4,53,2,15
14,3,43,12,47,7,16,1,53,6,72,8,80,15,68,14,14,5,60,13,24,4,24,9,47,2,24,10,55
13,14,29,4,28,9,58,13,75,5,63,10,57,11,15,3,46,2,71,15,34,12,76,1,23,6,36
13,15,74,6,31,11,77,7,76,12,48,14,49,13,19,2,77,4,49,10,62,8,77,5,18,1,40
12,12,35,11,49,13,72,8,36,4,68,9,56,7,62,1,16,6,46,14,62,10,63,15,17
15,11,27,2,54,4,12,14,75,13,25,5,57,3,25,12,45,7,51,15,57,8,68,9,55,6,31,10,51,1,17
12,12,41,9,13,10,10,7,61,14,24,3,49,11,29,6,36,1,30,15,24,13,62,5,65
14,11,45,10,43,4,15,3,21,8,74,2,12,9,53,13,63,6,70,5,12,7,47,15,14,14,57,1,69
13,11,76,4,63,7,16,15,18,14,58,13,80,2,25,10,64,6,49,5,23,3,70,8,15,9,30
14,10,20,5,67,1,72,3,61,12,45,13,29,4,69,9,41,6,37,2,77,8,65,14,70,7,75,15,61
13,5,45,4,67,1,22,11,67,7,34,8,24,6,74,9,61,12,44,14,77,10,71,3,59,13,72
12,9,44,8,21,7,18,15,10,3,35,1,47,13,76,14,73,6,63,5,48,10,70,2,31
#Setup times
78,48,64,54,76,67,24,68,53,69,71,17,79,77,16
61,18,49,73,33,35,35,77,33,37,13,28,63,12,27
63,17,55,15,77,17,62,55,46,56,64,70,12,54,78
52,53,29,80,39,24,61,59,54,80,77,17,19,56,15
45,49,56,53,47,57,61,60,66,17,73,67,40,29,29
11,74,27,52,38,60,11,68,38,73,27,20,27,45,66
57,25,30,21,42,29,26,29,40,11,59,35,17,39,70
39,62,28,33,12,10,68,67,65,56,58,54,19,79,21
35,17,28,51,60,38,56,63,71,70,41,71,30,18,33
57,49,38,71,16,36,56,50,61,25,13,80,45,35,59
24,55,36,25,76,24,11,58,76,21,12,40,40,69,13
38,29,37,18,77,40,17,11,46,17,67,76,13,67,65
27,46,15,56,33,42,54,69,29,31,28,29,44,25,80
17,21,54,13,76,34,61,64,54,59,19,48,61,61,73
56,46,59,54,80,30,54,43,10,68,59,32,59,12,14
