#Meta infos
10,10
#Processing times
5,6,56,10,76,4,92,7,95,2,89
9,5,68,10,76,4,59,1,87,7,76,8,55,3,73,9,75,6,83
5,1,51,3,83,9,76,6,76,2,59
8,1,98,7,75,5,53,2,50,6,80,3,99,8,89,10,90
7,10,83,9,64,3,58,5,50,1,96,4,70,7,53
5,7,91,8,70,9,62,4,61,2,59
10,4,94,9,51,10,77,3,88,6,98,7,63,8,53,5,83,2,58,1,75
6,10,98,7,98,5,99,3,54,8,71,4,93
8,1,56,3,80,2,75,4,77,6,88,9,91,5,97,10,84
10,10,72,1,58,7,75,5,79,3,50,9,68,2,81,6,84,4,55,8,90
#Setup times
69,74,66,87,51,99,99,86,99,90
69,67,58,51,76,85,76,66,96,74
87,66,95,52,80,67,90,51,98,76
78,72,56,91,63,74,60,69,75,72
78,63,58,78,51,72,97,70,91,78
79,50,53,65,60,55,65,90,85,69
84,81,84,79,83,60,50,70,54,99
98,92,97,81,89,88,67,68,85,85
77,74,65,79,86,92,94,85,51,51
78,80,89,74,59,72,55,98,69,52
