#Meta infos
30,20
#Processing times
18,10,54,2,33,3,31,4,16,17,17,6,18,18,30,15,43,7,49,20,39,14,73,5,53,12,70,19,39,8,79,13,30,9,41,1,30
16,15,50,12,70,5,52,10,36,7,14,9,23,18,33,14,15,20,80,4,47,16,26,19,50,3,59,6,29,1,59,2,56
18,8,75,7,57,3,42,5,43,10,48,14,79,1,36,20,13,12,22,6,63,4,61,19,15,17,45,2,17,11,18,16,65,13,65,18,31
19,3,25,4,74,1,16,9,33,2,38,7,25,8,32,12,24,15,71,5,65,18,75,11,42,14,62,16,52,17,10,10,37,6,44,20,56,19,28
17,10,51,3,75,8,67,2,62,16,74,5,74,18,79,12,31,17,56,7,54,4,26,11,15,6,51,14,56,1,39,13,26,20,54
15,17,61,1,70,14,47,4,73,10,32,8,36,18,32,3,59,16,60,11,57,12,42,2,29,13,53,6,62,7,36
15,13,48,19,72,8,69,16,45,1,42,9,28,7,59,11,15,15,24,5,24,14,54,12,67,2,20,4,54,6,25
15,2,29,18,56,12,30,15,47,8,33,10,16,20,56,1,29,19,14,9,42,11,45,5,77,6,76,14,57,17,80
19,12,13,19,48,2,20,15,76,14,38,20,55,11,42,18,26,17,48,10,46,5,32,9,27,3,22,1,15,7,14,8,67,13,36,4,18,16,11
16,16,13,13,75,20,72,18,66,11,56,3,18,9,41,6,55,17,40,12,60,8,47,14,41,15,35,19,80,4,79,10,20
18,20,75,6,15,14,15,8,54,2,35,16,48,7,20,19,44,11,45,18,28,15,76,9,16,5,37,3,62,12,32,13,21,4,42,10,13
16,11,29,2,77,6,17,18,54,5,72,13,79,10,51,9,24,16,12,4,28,12,18,19,69,17,30,3,11,7,60,15,69
18,16,19,15,40,4,27,18,26,12,59,2,12,7,65,17,47,8,36,3,20,20,38,11,69,10,46,6,65,13,74,14,45,19,28,5,39
17,14,20,19,51,11,19,18,61,16,74,6,36,15,38,2,66,5,43,10,70,8,57,3,72,4,79,12,77,1,24,17,53,13,60
15,12,47,4,66,16,56,14,64,19,46,3,44,6,79,9,69,10,38,15,30,5,53,2,14,13,71,18,24,7,79
16,6,78,20,46,8,73,11,32,3,43,12,42,17,24,16,52,2,70,14,10,1,71,18,28,10,39,13,70,4,19,9,65
20,10,21,6,79,1,44,18,73,7,72,12,56,19,18,9,24,17,39,14,30,3,46,11,43,8,33,5,43,20,64,4,59,16,60,2,67,15,62,13,66
19,14,52,2,49,19,75,10,72,7,27,5,76,8,65,20,68,1,54,18,21,4,32,16,47,13,30,17,77,9,64,11,39,15,58,3,76,12,59
19,4,46,20,13,18,42,14,67,15,62,3,18,6,71,1,48,12,13,5,32,7,80,11,18,9,20,19,34,2,61,13,43,10,19,16,77,8,72
20,10,18,13,30,9,52,5,14,17,44,18,75,12,30,11,51,16,19,3,25,19,39,1,66,8,69,20,13,14,70,15,78,7,34,6,24,2,80,4,44
15,11,34,8,76,17,16,6,74,16,69,3,72,2,18,5,58,19,79,20,38,15,72,7,33,14,66,9,46,13,49
20,20,32,9,48,5,26,3,39,6,79,4,30,8,15,16,37,13,33,12,67,1,66,17,29,19,37,11,52,10,31,2,64,7,32,15,76,18,10,14,72
18,20,40,5,61,3,28,14,59,18,33,8,42,19,39,1,63,11,56,15,48,2,43,7,45,17,39,13,54,4,80,16,27,6,77,10,47
16,17,51,6,12,1,33,14,26,16,23,5,43,19,30,7,68,9,29,10,24,12,55,13,71,8,79,3,75,20,22,2,41
15,17,74,5,21,13,36,20,19,12,68,2,30,16,45,3,35,14,10,10,28,1,78,7,56,11,48,6,21,9,68
19,20,77,18,35,14,50,4,32,11,16,8,26,13,21,7,49,16,22,6,54,5,36,17,40,1,38,10,78,12,56,2,44,3,14,19,15,15,31
18,13,47,18,21,6,47,4,35,14,30,7,17,11,14,19,64,20,13,12,10,9,34,3,16,5,38,10,72,16,76,8,62,1,28,17,23
17,5,54,14,46,12,57,18,59,16,29,3,10,10,33,4,38,2,42,11,65,8,25,7,68,15,79,17,14,13,67,6,64,20,45
20,11,71,14,64,2,34,4,79,16,71,1,21,17,48,10,22,5,15,8,21,15,37,6,49,9,58,19,67,20,43,18,47,3,76,13,30,7,77,12,44
19,3,29,1,12,15,48,8,67,19,23,11,68,6,42,14,61,20,17,2,28,4,79,5,70,18,42,9,52,16,54,17,57,7,17,12,11,13,10
#Setup times
61,60,68,77,52,15,76,21,16,45,55,53,27,74,73,58,72,20,45,30,19,23,77,51,66,56,46,67,43,66
15,40,65,23,26,58,80,14,28,18,50,46,67,61,26,79,33,71,38,32,43,35,31,40,62,76,63,74,52,41
73,42,16,21,20,76,10,17,64,22,48,42,25,22,47,22,42,69,74,77,66,40,65,35,79,37,34,70,31,64
31,57,41,37,35,26,51,47,77,52,33,61,80,16,46,76,29,65,24,30,17,15,18,36,16,64,48,75,41,13
26,25,60,22,77,79,59,68,62,67,20,16,28,21,10,48,73,60,17,38,21,16,57,54,73,28,31,14,24,42
26,32,33,11,25,46,25,76,70,60,31,62,50,20,52,74,39,62,47,19,20,50,59,18,41,39,45,24,69,59
15,55,27,45,58,45,78,28,71,16,60,77,19,17,45,51,38,33,60,25,63,54,23,59,10,41,48,42,69,51
46,37,30,59,53,76,50,49,66,68,31,31,20,25,37,25,17,63,25,30,64,24,77,13,49,41,37,52,48,61
59,36,54,44,28,37,29,66,51,21,43,61,68,73,70,67,15,23,26,26,53,29,60,23,75,52,60,47,40,58
51,65,43,32,14,58,10,19,42,37,47,26,44,33,40,33,19,69,74,65,25,19,58,64,17,57,79,44,35,32
65,31,25,33,55,50,36,20,26,35,69,80,37,52,51,54,29,28,61,53,43,57,67,29,45,69,61,16,13,25
59,32,58,13,54,78,13,46,32,12,28,38,46,68,65,21,12,68,36,52,47,77,35,30,61,74,18,61,80,44
19,31,24,54,17,61,52,80,39,59,24,70,42,41,12,73,15,71,52,47,13,80,39,74,42,18,20,56,65,37
45,39,33,75,23,32,47,16,11,40,49,41,56,69,60,62,22,77,13,33,45,73,34,28,36,79,59,56,27,68
74,43,12,78,15,47,23,20,68,37,38,15,30,77,20,64,23,69,21,42,69,27,78,23,59,52,17,49,30,56
71,57,47,10,79,27,65,20,79,59,68,45,45,41,78,27,27,16,70,70,70,12,27,69,61,69,62,29,58,17
43,54,40,58,61,45,44,40,21,40,56,55,78,33,64,72,32,35,78,43,44,51,52,54,20,77,72,24,67,38
74,69,80,58,41,54,20,16,73,68,74,36,78,28,44,75,32,21,41,30,60,36,60,10,46,12,43,53,22,49
51,64,38,30,57,69,58,75,35,51,33,69,51,70,56,79,58,73,80,21,77,22,33,36,44,30,80,31,75,31
50,11,23,40,31,11,23,11,56,69,70,53,15,48,36,33,11,16,37,31,21,26,78,46,54,77,15,73,50,20
26,63,22,52,43,13,34,73,37,40,29,21,74,67,23,61,65,42,13,52,63,39,43,50,69,48,57,36,35,66
65,77,73,35,35,45,74,63,71,37,24,59,22,17,60,64,35,75,21,35,36,78,47,71,49,12,71,29,50,72
30,34,53,70,33,47,44,15,61,74,58,26,70,37,28,59,22,42,21,22,63,67,20,13,24,70,69,24,32,45
58,23,48,43,40,10,70,13,54,27,45,13,55,79,27,47,70,26,73,47,41,61,41,59,18,64,48,35,45,34
55,21,73,16,33,59,35,40,56,24,80,39,70,34,57,73,68,20,34,26,23,70,47,53,43,17,32,48,10,54
52,79,12,64,11,36,62,24,21,68,62,20,69,59,61,39,76,12,17,61,11,61,49,58,53,75,43,69,80,63
19,22,29,43,13,30,80,25,45,49,48,41,73,32,30,55,55,47,68,21,80,55,57,45,78,80,53,67,15,16
12,14,73,38,55,16,16,80,53,55,49,56,19,58,42,40,19,26,37,65,33,71,59,20,10,37,48,49,44,23
13,13,16,48,35,72,30,80,78,22,59,32,68,56,25,39,43,21,28,33,63,70,15,74,32,46,10,69,16,79
11,32,69,20,50,32,22,45,35,12,24,16,26,27,58,13,54,71,12,78,24,62,75,47,41,16,23,66,48,35
