#Meta infos
10,10
#Processing times
7,6,54,4,85,5,62,9,71,3,71,7,90,2,83
8,4,76,6,94,3,64,9,97,1,59,2,83,5,82,10,70
7,1,97,9,77,7,76,5,75,4,86,6,52,2,81
10,9,73,7,50,5,69,8,55,4,65,2,70,10,70,3,92,1,83,6,95
5,9,68,4,91,7,54,5,97,6,78
6,9,51,4,68,7,83,10,53,1,58,6,96
7,7,96,5,87,3,79,6,90,1,73,4,86,9,64
8,4,83,6,57,2,72,9,87,7,58,3,80,8,78,1,56
7,6,89,7,74,3,97,10,83,9,50,2,55,4,93
7,8,87,5,67,4,62,10,78,2,67,1,72,3,62
#Setup times
61,71,87,73,75,62,71,94,62,92
85,52,67,82,50,88,80,93,73,50
90,60,91,88,75,65,72,94,62,58
73,78,96,70,65,50,65,93,66,93
71,99,96,84,54,91,55,93,79,78
97,93,55,97,59,80,66,94,57,96
80,74,69,91,98,56,57,94,62,88
95,69,86,61,67,66,86,69,88,54
81,62,82,54,51,98,93,51,70,50
60,60,66,75,57,92,92,70,87,81
