#Meta infos
10,5
#Processing times
5,5,24,3,36,4,20,2,15,1,40
3,3,44,1,55,4,19
3,3,76,4,58,5,16
3,2,66,5,33,4,48
4,5,55,2,66,3,76,1,23
4,2,16,1,23,5,66,4,42
3,4,13,3,31,5,35
3,2,21,3,11,4,46
5,4,61,5,23,1,18,3,17,2,12
4,1,57,3,13,2,76,5,62
#Setup times
80,15,72,54,25,41,34,15,73,23
14,42,42,71,61,28,43,23,17,36
53,40,15,50,41,17,74,16,36,39
44,56,49,28,67,38,41,17,14,29
13,44,10,34,78,54,73,13,10,64
37,69,27,19,62,15,37,66,71,69
41,34,44,13,50,59,54,20,64,21
61,44,20,78,53,78,60,38,77,55
70,66,71,20,65,37,69,36,65,56
61,13,12,12,12,80,34,78,65,78
