#Meta infos
10,5
#Processing times
3,3,13,1,22,4,64
3,2,46,3,25,1,23
4,4,63,5,55,2,27,1,24
4,5,49,3,34,2,30,4,48
5,5,14,1,68,3,30,4,72,2,79
5,2,26,4,34,3,44,5,30,1,38
5,4,16,1,51,2,61,3,68,5,21
3,1,71,2,73,5,28
4,5,74,1,70,2,54,3,17
3,3,30,4,51,5,76
#Setup times
55,64,20,71,14,51,75,39,75,47
30,27,72,51,44,18,53,79,41,77
24,75,50,80,46,47,80,66,11,69
64,41,57,31,78,66,21,75,80,35
64,48,19,61,72,71,62,54,50,80
51,71,49,34,10,59,48,12,26,74
24,52,33,15,21,62,19,40,63,67
30,62,29,25,28,56,77,35,80,46
70,51,13,48,51,12,37,68,65,58
77,37,61,21,26,54,41,69,59,37
