#Meta infos
25,20
#Processing times
19,4,37,16,47,1,50,15,25,20,47,18,61,6,78,10,61,8,33,5,58,2,42,3,62,14,25,19,65,12,71,9,68,17,21,7,61,13,20
17,2,58,17,29,9,37,10,41,6,79,11,51,18,62,8,55,3,34,16,29,12,34,4,15,14,77,19,62,7,73,5,57,1,29
15,11,64,20,48,6,49,19,22,14,63,1,71,3,53,16,13,18,64,15,42,13,63,7,50,2,21,12,49,8,34
20,20,29,3,64,4,58,11,72,14,55,8,17,6,21,18,38,15,21,19,53,17,66,1,22,16,77,13,27,5,16,9,37,2,48,7,55,10,75,12,69
15,11,44,3,65,17,42,2,65,16,62,12,80,1,61,6,47,13,39,7,46,5,34,14,27,20,15,8,30,9,36
19,11,71,8,35,20,63,4,12,3,10,16,59,2,78,1,13,14,75,13,32,17,70,5,21,12,22,19,25,6,24,7,29,10,39,9,73,18,39
16,17,23,9,59,12,59,7,14,15,62,16,54,10,58,18,18,14,60,19,73,20,14,2,41,5,21,1,68,8,25,3,13
20,7,60,18,73,1,15,15,10,8,51,2,58,12,71,6,32,19,17,11,62,16,18,5,19,4,54,17,44,20,27,9,21,13,78,10,58,14,80,3,73
15,1,68,18,66,5,10,11,75,14,79,6,13,20,28,19,53,10,14,8,23,17,13,3,50,2,42,13,27,12,45
20,3,65,18,50,17,67,19,70,20,48,10,69,6,23,9,40,13,41,14,64,11,50,16,63,5,60,2,47,15,11,8,74,7,76,1,29,4,61,12,39
18,1,68,2,66,6,59,4,21,18,36,7,27,5,55,9,20,11,32,13,53,14,57,17,42,20,26,12,14,10,27,8,16,15,32,3,59
18,1,21,15,11,12,47,18,42,13,73,4,79,5,54,9,21,2,71,10,56,16,70,19,21,8,59,7,33,20,40,6,26,11,57,14,10
15,17,45,8,56,14,54,1,52,10,17,20,47,11,12,5,56,16,76,7,68,13,41,12,49,15,75,4,72,6,27
18,19,74,3,76,20,41,9,80,5,51,14,17,8,62,4,67,11,37,15,19,18,67,6,17,13,72,17,63,2,45,7,65,16,12,1,31
18,10,66,3,45,12,38,2,17,7,49,19,77,5,80,15,47,6,58,13,15,4,25,14,13,17,54,1,28,20,17,11,67,9,45,8,28
15,11,69,5,51,13,12,8,59,12,21,19,74,1,66,18,70,15,57,17,56,2,76,6,19,9,62,16,12,10,56
17,11,22,5,64,4,54,3,14,9,79,8,20,7,35,12,11,2,66,18,38,20,77,10,63,13,46,17,41,14,49,1,67,19,40
18,14,62,1,36,6,49,18,68,5,18,12,31,9,14,15,10,4,80,11,49,13,59,7,79,17,69,16,43,10,38,2,18,20,78,8,47
20,20,63,1,31,4,44,5,14,8,60,6,57,13,25,7,71,15,41,17,62,19,56,12,40,3,65,18,11,14,32,16,51,9,57,10,74,11,11,2,80
17,15,33,16,30,6,77,7,35,10,23,17,71,14,60,20,69,8,63,19,25,11,62,18,58,3,35,4,25,2,44,9,77,13,73
19,9,54,1,25,19,33,4,28,2,23,14,56,15,57,18,48,20,74,3,69,16,75,8,11,11,76,6,73,12,66,5,73,17,26,10,52,7,14
15,9,56,19,11,5,65,17,21,15,21,11,36,14,62,7,76,8,48,10,33,12,60,4,61,13,35,2,72,6,21
18,18,76,3,17,15,68,6,32,5,71,17,29,2,11,16,79,1,64,19,29,4,23,14,16,12,21,13,32,7,23,11,33,20,55,9,55
20,19,55,14,16,17,28,9,24,4,12,7,53,3,65,10,64,2,46,16,14,12,68,13,67,11,68,1,64,8,71,20,20,5,74,15,65,6,76,18,40
15,7,25,2,29,17,53,16,20,5,26,1,25,19,71,13,62,4,33,15,14,20,41,14,24,9,50,8,69,11,15
#Setup times
52,71,66,72,37,68,76,59,50,34,54,20,16,34,24,70,35,79,47,49,44,56,38,52,45
28,60,23,58,37,63,58,16,23,39,65,32,46,17,21,55,20,43,47,34,26,16,19,54,33
26,75,20,56,21,25,36,33,22,44,73,17,53,39,61,40,13,72,63,50,33,13,18,24,12
19,16,72,75,58,73,65,73,24,23,56,49,24,39,58,23,44,56,30,43,30,14,16,66,66
23,45,39,55,77,52,44,54,49,23,64,41,58,43,30,67,22,43,48,29,20,25,76,27,61
66,43,60,63,36,57,28,50,68,60,38,57,75,18,40,47,60,67,65,24,50,62,12,13,45
50,31,56,16,20,44,72,47,61,46,12,80,28,54,56,43,51,75,49,61,30,42,76,72,12
47,11,29,41,48,74,73,11,10,31,13,46,66,46,21,21,60,66,10,15,15,53,73,59,38
23,60,45,77,19,68,55,77,16,75,11,43,43,59,49,30,25,68,61,11,47,38,77,68,20
46,23,54,12,69,68,72,15,11,58,16,33,21,39,19,12,70,43,60,34,53,13,20,42,40
64,69,46,23,26,39,70,15,36,73,31,33,41,20,26,29,21,38,14,33,70,52,73,34,48
65,42,32,61,57,39,65,54,41,39,37,74,49,67,31,66,35,32,25,62,78,25,28,40,19
66,60,64,71,77,33,24,67,68,65,23,47,31,40,32,15,31,43,37,74,68,54,17,73,19
80,65,65,71,59,65,31,76,32,76,71,34,63,31,47,10,52,54,28,38,26,77,47,14,74
46,20,53,73,67,48,49,40,12,29,31,25,80,80,76,43,75,60,78,26,35,41,33,24,21
28,71,31,38,64,50,10,59,21,34,45,70,53,48,33,36,77,63,29,80,74,64,25,65,46
72,57,40,37,30,18,55,64,71,58,22,58,59,31,75,33,70,28,72,31,62,51,59,53,48
38,48,11,24,62,80,40,33,50,69,39,30,68,69,48,33,16,32,36,48,33,68,17,74,40
45,44,25,54,51,75,66,69,64,28,55,70,44,28,17,47,31,29,12,32,70,19,65,78,35
30,46,50,53,45,44,65,11,54,40,28,48,24,16,44,51,52,22,41,27,71,35,32,60,25
58,48,12,15,60,14,63,68,54,76,11,13,59,44,72,24,11,10,59,50,28,16,22,31,46
12,32,45,33,73,47,48,33,78,51,56,72,21,53,41,46,51,17,35,53,35,40,20,68,61
55,51,46,59,16,47,28,46,53,42,68,73,18,24,20,16,78,78,73,75,67,17,19,44,75
14,53,24,31,67,60,13,52,34,50,47,34,48,42,46,72,78,53,18,58,50,10,70,64,62
61,74,51,37,25,30,17,18,50,74,65,59,38,18,20,46,75,10,43,11,30,38,77,49,31
