#Meta infos
10,10
#Processing times
9,9,95,2,93,1,83,5,88,10,79,3,95,4,68,7,65,6,52
9,9,77,8,51,2,62,7,56,4,82,5,71,1,81,10,90,6,52
9,4,72,5,59,2,75,7,59,1,90,3,82,6,69,9,81,8,89
9,5,91,1,85,3,65,4,79,2,98,10,94,9,56,8,90,7,53
10,2,62,8,79,7,61,3,73,5,53,4,89,10,76,1,65,6,85,9,92
9,10,77,9,60,6,70,2,62,5,50,1,51,7,69,4,78,8,60
9,1,60,3,83,7,74,2,87,5,59,8,83,10,90,6,80,9,67
9,9,72,1,85,10,70,4,83,2,71,5,62,8,62,3,58,6,83
9,9,57,1,94,10,55,7,58,2,67,6,77,3,75,5,89,4,52
10,5,91,10,96,9,50,1,80,3,58,4,56,2,58,6,66,8,81,7,79
#Setup times
74,63,61,80,69,82,60,59,50,77
88,89,73,57,84,67,69,87,78,69
92,80,53,89,73,98,77,62,68,86
57,96,80,76,80,59,64,63,97,94
77,98,92,84,77,56,93,52,83,51
89,67,84,61,86,92,59,70,56,69
54,96,90,63,70,90,58,95,76,74
52,56,89,82,90,92,87,67,62,67
55,74,78,67,96,89,62,68,89,86
50,92,56,78,90,79,58,79,64,85
