#Meta infos
15,15
#Processing times
12,8,23,13,58,9,28,15,77,10,16,3,13,12,69,11,12,4,54,1,69,14,64,5,35
14,5,15,10,79,8,53,6,31,3,35,15,14,12,68,9,42,14,56,4,50,2,54,11,27,13,48,7,33
12,14,44,13,33,8,19,2,68,12,45,6,35,10,71,9,62,4,40,15,25,5,64,11,24
15,3,35,7,30,11,60,4,23,15,70,6,48,14,52,8,78,10,45,1,40,5,78,13,15,2,72,9,10,12,45
13,10,63,15,25,8,11,14,72,11,61,3,72,13,17,6,43,7,34,2,67,1,41,9,11,12,29
13,14,71,6,59,13,52,2,39,4,44,9,33,7,33,12,58,5,48,10,56,11,25,1,39,15,22
13,15,27,10,34,5,55,12,28,2,58,9,49,11,80,3,33,13,69,6,29,7,80,1,21,4,59
14,15,26,12,58,2,20,4,67,8,45,3,58,1,77,10,27,11,24,5,16,6,66,9,17,14,71,13,14
13,14,51,9,18,10,50,3,60,13,67,2,56,6,19,12,30,11,66,7,44,15,57,8,10,1,74
15,13,46,3,65,1,59,11,45,5,67,4,40,10,29,9,61,12,17,2,64,6,48,15,40,8,55,7,26,14,13
14,7,40,1,56,3,42,4,36,2,35,9,56,10,16,15,38,6,49,12,78,5,65,8,42,14,58,11,10
13,1,17,7,17,4,20,11,34,5,59,10,21,8,17,6,78,3,22,12,75,14,32,13,80,2,22
13,9,71,14,71,11,59,7,36,6,47,12,20,2,20,8,25,3,40,5,36,13,50,10,63,1,16
12,9,69,1,49,11,70,2,51,4,63,14,75,10,42,15,42,5,46,12,78,7,55,13,15
14,8,64,15,80,9,25,11,29,5,77,13,50,1,41,12,22,6,61,7,33,3,55,2,20,14,80,4,19
#Setup times
21,22,44,46,71,73,60,19,61,60,13,35,58,11,74
45,46,34,55,76,77,14,54,33,22,71,47,49,51,73
80,36,15,70,35,36,47,71,41,52,60,80,43,58,30
12,30,49,35,43,23,19,51,21,25,15,65,56,36,13
22,14,12,33,28,57,31,73,32,10,30,58,20,21,11
38,10,55,44,67,33,13,42,50,79,53,15,64,19,79
56,15,71,11,32,54,65,43,80,55,54,20,31,29,15
47,67,41,16,61,80,59,57,47,13,50,71,34,56,19
62,39,78,22,67,76,11,21,72,66,41,37,37,47,24
28,66,36,19,41,80,72,15,50,11,63,18,76,43,17
26,25,72,66,50,80,12,15,42,26,40,43,12,35,61
42,29,31,37,75,76,18,25,15,14,23,49,59,34,58
24,46,63,71,75,42,51,39,42,39,76,80,13,42,24
60,75,46,24,32,58,44,49,43,56,54,30,57,60,35
46,45,56,14,21,67,40,60,38,44,20,73,69,30,44
